[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/82-8c43f1d2c30541c5.js → 200 (?ms, 29085B)
[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/521-e5fa6ee99fcb2559.js → 200 (?ms, 110534B)
[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/395-f2c77096de26445d.js → 200 (361ms, 383446B)
[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/550-23036b7dc9b4e974.js → 200 (72ms, 15483B)
[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/app/(dashboard)/dashboard/page-f77a5f4fc5ba979a.js → 200 (71ms, 6821B)
[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/878-afecfdc3c035736c.js → 200 (?ms, 13343B)
[2026-05-29T09:56:53.087Z] GET http://localhost:3000/_next/static/chunks/app/(dashboard)/layout-86ea39ceb6b49e3c.js → 200 (150ms, 4644B)
[2026-05-29T09:56:53.128Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, ?B)
[2026-05-29T09:56:53.565Z] GET http://localhost:3000/?_rsc=cki2z → 200 (36ms, ?B)
[2026-05-29T09:56:53.566Z] GET http://localhost:3000/packages?_rsc=cki2z → pending (?ms, ?B)
[2026-05-29T09:56:53.571Z] GET http://localhost:3000/alerts?_rsc=cki2z → pending (?ms, ?B)
[2026-05-29T09:56:53.571Z] GET http://localhost:3000/repos?_rsc=cki2z → pending (?ms, ?B)
[2026-05-29T09:56:53.571Z] GET http://localhost:3000/packages/left-pad?_rsc=cki2z → pending (?ms, ?B)
[2026-05-29T09:56:53.625Z] GET http://localhost:3000/_next/static/chunks/570-b4ab4d6e81f385e6.js → 200 (?ms, ?B)
[2026-05-29T09:56:53.627Z] GET http://localhost:3000/_next/static/chunks/app/(public)/page-378e0b3e89ac6f2a.js → 200 (?ms, ?B)
[2026-05-29T09:56:53.627Z] GET http://localhost:3000/packages/moment?_rsc=cki2z → pending (?ms, ?B)
[2026-05-29T09:56:54.808Z] GET http://localhost:3000/packages/request?_rsc=cki2z → 200 (160ms, ?B)
[2026-05-29T09:56:54.808Z] GET http://localhost:3000/packages/bower?_rsc=cki2z → 200 (176ms, ?B)
[2026-05-29T09:56:55.078Z] GET http://localhost:3000/packages/node-sass?_rsc=cki2z → 200 (23ms, ?B)
[2026-05-29T09:56:55.091Z] GET http://localhost:3000/packages/gulp?_rsc=cki2z → 200 (220ms, ?B)
[2026-05-29T09:56:55.311Z] GET http://localhost:3000/packages/rxjs?_rsc=cki2z → 200 (294ms, ?B)
[2026-05-29T09:56:55.445Z] GET http://localhost:3000/packages/underscore?_rsc=cki2z → 200 (191ms, ?B)
[2026-05-29T09:56:55.605Z] GET http://localhost:3000/_next/static/chunks/app/(dashboard)/packages/page-437f3d032a1c4bcf.js → pending (?ms, ?B)
[2026-05-29T09:56:55.635Z] GET http://localhost:3000/_next/static/chunks/app/(dashboard)/alerts/page-d51a89e0271e472d.js → pending (?ms, ?B)
[2026-05-29T09:56:55.636Z] GET http://localhost:3000/_next/static/chunks/441-92a83d041056fcf0.js → pending (?ms, ?B)
[2026-05-29T09:56:55.636Z] GET http://localhost:3000/_next/static/chunks/110-5d63135f7fc5747f.js → pending (?ms, ?B)
[2026-05-29T09:56:55.636Z] GET http://localhost:3000/_next/static/chunks/app/(dashboard)/repos/page-1da32313d92727e3.js → pending (?ms, ?B)
[2026-05-29T09:56:55.636Z] GET http://localhost:3000/packages/nodemailer?_rsc=cki2z → pending (?ms, ?B)
[2026-05-29T09:57:00.135Z] GET http://localhost:3000/login → 200 (1ms, ?B)
[2026-05-29T09:57:00.136Z] GET http://localhost:3000/_next/image?url=%2Flogo.png&w=32&q=75 → 200 (?ms, 220B)
[2026-05-29T09:57:00.136Z] GET http://localhost:3000/_next/static/css/118259c53b2ba41a.css → 200 (?ms, ?B)
[2026-05-29T09:57:00.136Z] GET http://localhost:3000/_next/static/chunks/webpack-68db74319b18262e.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.136Z] GET http://localhost:3000/_next/static/chunks/fd9d1056-d01e9804f4c81514.js → 200 (101ms, ?B)
[2026-05-29T09:57:00.246Z] GET http://localhost:3000/_next/static/chunks/117-72b103fc8e46f795.js → 200 (33ms, ?B)
[2026-05-29T09:57:00.279Z] GET http://localhost:3000/_next/static/chunks/main-app-81c067feb08acb5c.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.279Z] GET http://localhost:3000/_next/static/chunks/972-08e58201e5ba5632.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.280Z] GET http://localhost:3000/_next/static/chunks/521-e5fa6ee99fcb2559.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.280Z] GET http://localhost:3000/_next/static/chunks/app/(auth)/login/page-7e7fb2cb72dc1a3e.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.280Z] GET http://localhost:3000/_next/static/chunks/82-8c43f1d2c30541c5.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.853Z] GET http://localhost:3000/_next/static/chunks/878-afecfdc3c035736c.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.853Z] GET http://localhost:3000/_next/static/chunks/570-b4ab4d6e81f385e6.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.854Z] GET http://localhost:3000/_next/static/chunks/app/(public)/page-378e0b3e89ac6f2a.js → 200 (?ms, ?B)
[2026-05-29T09:57:00.967Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (29ms, ?B)
[2026-05-29T09:57:01.020Z] GET http://localhost:3000/?_rsc=10x2f → pending (?ms, ?B)
[2026-05-29T09:57:01.020Z] GET http://localhost:3000/register?_rsc=10x2f → pending (?ms, ?B)
[2026-05-29T09:57:01.129Z] GET http://localhost:3000/_next/static/chunks/app/(auth)/register/page-e7eb4bcb02d63d70.js → 200 (?ms, 2296B)
[2026-05-29T09:57:53.824Z] GET http://localhost:3000/ → 200 (11ms, 59051B)
